NO ADHERENT;NOM;PRENOM;DATE NAISSANCE;SEXE;CATEGORIE LICENCE;DATE DE SAISIE;CATEGORIE AGE
100;Hebert;Etienne;08/02/1962;H;A;01/09/2011;S
101;Nadeau;Adrien;03/11/1947;H;A;02/09/2011;S
102;Gagné;Laurent;29/01/1977;H;A;02/10/2011;S
103;Guedry;Alexandre;02/06/1987;H;A;03/11/2011;S
104;Gendron;Ignace;22/11/1975;H;A;03/12/2011;S
105;Lebel;Georgette;01/02/1951;F;A;03/01/2012;S
106;Vaillancourt;Merlin;05/01/2003;H;A;03/02/2012;J10
107;Cailot;Vignette;15/02/2001;F;A;03/03/2012;J11
108;Truchon;Emmanuelle;05/09/1965;F;A;03/03/2012;S
109;Duplanty;Desire;07/02/2001;H;D7;03/04/2012;J11
110;Chauvet;Leroy;01/10/2002;H;U;03/05/2012;J10
111;Bilodeau;Virginie;08/04/2002;F;U;03/06/2012 ;J13
112;?mond;Tristan;12/06/2001;H;I;03/06/2012;J11
113;Mouet;Fifi;26/04/1994;F;D90;03/07/2012;J17
114;Labonté;Fitz;19/04/1995;H;U;03/07/2012;J16
115;Poissonnier;Matthieu;09/11/1992;H;A;03/07/2012;S-23
116;Victoire;Bouchez;09/03/1996;F;A;03/07/2012;J15
